CIDADE;DISTRITO;BAIRRO;ID_LOCALIZACAO
MARICÁ;4_ITAIPUAÇU;SÃO BENTO DA LAGOA;1
MARICÁ;4_ITAIPUAÇU;CAJUEIROS;2
MARICÁ;4_ITAIPUAÇU;CHACARAS DE INOÃ;3
MARICÁ;4_ITAIPUAÇU;JD ATL LESTE;4
MARICÁ;3_INOÃ;RISCA FACA;5
MARICÁ;3_INOÃ;RODO DE INOA;6
MARICÁ;3_INOÃ;VIVENDAS DE ITAIPUAÇU;7
MARICÁ;1_MARICÁ;RAFAVILLE;8
MARICÁ;4_ITAIPUAÇU;SOLARIS;9
MARICÁ;3_INOÃ;CHACARAS DE INOÃ;10
MARICÁ;4_ITAIPUAÇU;VIVENDAS DE ITAIPUAÇU;11
MARICÁ;3_INOÃ;ALPHAVILLE;12
MARICÁ;4_ITAIPUAÇU;ITAOCAIA VALLEY;13
MARICÁ;4_ITAIPUAÇU;JD ATL OESTE;14
MARICÁ;1_MARICÁ;CAXITO;15
MARICÁ;4_ITAIPUAÇU;BOSQUE DOS FLAMBOYANTS;16
MARICÁ;4_ITAIPUAÇU;JD ATL CENTRAL;17
MARICÁ;3_INOÃ;INOÃ;18
MARICÁ;1_MARICÁ;ITAPEBA;19
MARICÁ;4_ITAIPUAÇU;PQ VERA CRUZ;20
MARICÁ;1_MARICÁ;MANU MANUELLA;21
MARICÁ;1_MARICÁ;DEL REY;22
MARICÁ;4_ITAIPUAÇU;PARQUE VERA CRUZ;23
MARICÁ;4_ITAIPUAÇU;CENTRO;24
MARICÁ;1_MARICÁ;DON FELIPE;25
MARICÁ;3_INOÃ;DPO;26
MARICÁ;3_INOÃ;BOSQUE FUNDO;27
MARICÁ;4_ITAIPUAÇU;BARROCO;28
MARICÁ;1_MARICÁ;SÃO JOSÉ DO IMBASSAÍ;29
MARICÁ;1_MARICÁ;SÃO FRANCISCO;30
MARICÁ;4_ITAIPUAÇU;ITAIPUAÇU;31
MARICÁ;2_PONTA NEGRA;CORDEIRINHO;32
MARICÁ;1_MARICÁ;JACAROÁ;33
MARICÁ;4_ITAIPUAÇU;RECANTO;34
MARICÁ;4_ITAIPUAÇU;COSTA VERDE;35
MARICÁ;1_MARICÁ;PINDOBAS;36
MARICÁ;2_PONTA NEGRA;PINDOBAL;37
MARICÁ;1_MARICÁ;PARQUE NANCI;38
MARICÁ;2_PONTA NEGRA;PONTA NEGRA;39
MARICÁ;2_PONTA NEGRA;BAMBUI;40
MARICÁ;4_ITAIPUAÇU;RINCAO MIMOSO;41
MARICÁ;1_MARICÁ;CONDADO;42
MARICÁ;4_ITAIPUAÇU;TERRAMAR;43
MARICÁ;4_ITAIPUAÇU;PARQUE NANCI;44
MARICÁ;1_MARICÁ;CENTRO;45
MARICÁ;4_ITAIPUAÇU;PORTAL DOS CAJUEIROS;46
MARICÁ;1_MARICÁ;CAIXITO;47
MARICÁ;4_ITAIPUAÇU;RESERVA;48
MARICÁ;4_ITAIPUAÇU;CAMPO & MAR 2;49
MARICÁ;1_MARICÁ;AMENDOEIRAS;50
MARICÁ;1_MARICÁ;LAGOA;51
MARICÁ;4_ITAIPUAÇU;ORLA;52
MARICÁ;1_MARICÁ;SUMMER DREAM ;53
MARICÁ;3_INOÃ;SANTA PAULA;54
MARICÁ;1_MARICÁ;26 DE MAIO;55
MARICÁ;1_MARICÁ;FLAMENGO;56
MARICÁ;4_ITAIPUAÇU;JARDIM ITAIPUAÇU;57
MARICÁ;1_MARICÁ;MARINE;58
MARICÁ;4_ITAIPUAÇU;ITAIPUAÇU VILLE;59
MARICÁ;4_ITAIPUAÇU;MANU MANUELLA;60
MARICÁ;3_INOÃ;CASSOROTIBA;61
MARICÁ;4_ITAIPUAÇU;ALPHAVILLE;62
MARICÁ;1_MARICÁ;PILAR;63
MARICÁ;3_INOÃ;PEDRA DE INOA;64
MARICÁ;3_INOÃ;SOLARIS;65
MARICÁ;1_MARICÁ;UBATA;66
MARICÁ;3_INOÃ;TERRAS ALPHA;67
MARICÁ;3_INOÃ;JARDINS DA COSTA;68
MARICÁ;4_ITAIPUAÇU;CRUZ;69
MARICÁ;1_MARICÁ;JD ATL OESTE;70
MARICÁ;1_MARICÁ;PONTA GROSSA;71
MARICÁ;3_INOÃ;SPAR;72
MARICÁ;1_MARICÁ;ARAÇATIBA;73
MARICÁ;2_PONTA NEGRA;ESPRAIADO;74
MARICÁ;3_INOÃ;TERRAMAR;75
MARICÁ;4_ITAIPUAÇU;VITORIA DOS ANJOS;76
