CODIGO;ATIVO;TIPO;ID_LOCALIZACAO;QUARTOS;SUITE;AREA_TERRENO;AREA_CONSTRUIDA;VALOR;VALOR_M2;PISCINA_IMOVEL;CHURRASQUEIRA;CONDOMINIO;ALTO_PADRAO;STATUS
SB164;VENDIDO;CASA;1;2;1;240,0;90,0;415000;4611,111111111111;0;1;0;0;NOVO
TER031;DISPONÍVEL;TERRENO UNIFAMILIAR;2;0;0;586,0;586,0;120000;204,77815699658703;0;0;1;0;NOVO
TER037;VENDIDO;TERRENO UNIFAMILIAR;2;0;0;360,0;360,0;50000;138,88888888888889;0;0;1;0;NOVO
TER042;DISPONÍVEL;TERRENO UNIFAMILIAR;2;0;0;360,0;360,0;130000;361,1111111111111;0;0;1;1;NOVO
TER006;VENDIDO;TERRENO UNIFAMILIAR;3;0;0;600,0;360,0;80000;222,22222222222223;0;0;0;0;NOVO
TER038;DISPONÍVEL;TERRENO UNIFAMILIAR;2;0;0;360,0;700,0;130000;185,71428571428572;0;0;1;1;NOVO
JA1299;VENDIDO;CASA;4;1;0;100,0;450,0;130000;288,8888888888889;0;0;1;0;NOVO
IN040;VENDIDO;CASA;5;2;1;200,0;480,0;140000;291,6666666666667;0;0;0;0;USADO
IN046;VENDIDO;CASA;6;2;0;150,0;70,0;150000;2142,8571428571427;0;0;1;0;USADO
IN033;VENDIDO;CASA;7;3;2;400,0;102,0;498000;4882,35294117647;0;1;0;0;NOVO
SJ095;VENDIDO;CASA;8;2;0;360,0;50,0;170000;3400,0;0;0;0;0;NOVO
SB157;VENDIDO;CASA;1;3;1;240,0;100,0;535000;5350,0;0;1;0;0;NOVO
SOL001;VENDIDO;CASA;9;3;1;400,0;220,0;899000;4086,3636363636365;1;1;1;1;NOVO
JA939;VENDIDO;APTO;4;1;0;50,0;50,0;180000;3600,0;0;0;1;0;NOVO
IN031;DISPONÍVEL;APTO;10;2;0;66,0;66,0;180000;2727,2727272727275;0;0;1;0;USADO
TER002;VENDIDO;TERRENO UNIFAMILIAR;4;0;0;548,0;0,0;140000;0,0;0;0;0;0;NOVO
IN021;VENDIDO;APTO;11;2;1;1000,0;74,0;200000;2702,7027027027025;0;0;0;0;USADO
TER028;DISPONÍVEL;TERRENO UNIFAMILIAR;12;0;0;360,0;360,0;200000;555,5555555555555;0;0;1;1;NOVO
TER013;VENDIDO;TERRENO UNIFAMILIAR;13;0;0;1000,0;0,0;150000;0,0;0;0;0;0;NOVO
TER033;VENDIDO;TERRENO UNIFAMILIAR;14;0;0;674,4;0,0;200000;0,0;0;0;0;0;NOVO
CAX012;VENDIDO;CASA;15;2;1;216,0;80,0;420000;5250,0;0;1;1;0;NOVO
TER024;VENDIDO;TERRENO UNIFAMILIAR;2;0;0;360,0;0,0;160000;0,0;1;1;1;1;NOVO
TER011;VENDIDO;TERRENO UNIFAMILIAR;13;0;0;1000,0;0,0;160000;0,0;0;0;0;0;NOVO
TER055;DISPONÍVEL;TERRENO UNIFAMILIAR;16;0;0;700,0;0,0;220000;0,0;0;0;1;0;NOVO
JA1561;VENDIDO;APTO;4;2;0;100,0;60,0;250000;4166,666666666667;0;0;1;0;USADO
JA1540;VENDIDO;APTO;4;2;0;100,0;65,0;270000;4153,846153846154;0;0;1;0;NOVO
JA172;VENDIDO;APTO;4;2;0;440,0;63,0;190000;3015,873015873016;0;0;1;0;NOVO
IV019;VENDIDO;DUPLEX;13;2;0;100,0;65,0;205000;3153,846153846154;0;1;1;0;NOVO
JA212;VENDIDO;APTO;17;2;1;100,0;65,0;192000;2953,846153846154;1;1;1;0;NOVO
TER001;VENDIDO;TERRENO UNIFAMILIAR;14;0;0;440,0;0,0;170000;0,0;0;0;0;0;NOVO
SB196;VENDIDO;CASA;1;2;0;200,0;80,0;190000;2375,0;0;0;1;0;USADO
TER004;VENDIDO;TERRENO UNIFAMILIAR;18;0;0;450,0;0,0;175000;0,0;1;1;1;0;NOVO
SJ079;VENDIDO;DUPLEX;19;2;1;200,0;90,0;290000;3222,222222222222;0;1;1;0;NOVO
JA432;VENDIDO;APTO;4;2;0;480,0;62,0;195000;3145,1612903225805;0;1;1;0;NOVO
IN062;VENDIDO;CASA;20;1;0;600,0;50,0;180000;3600,0;0;0;0;0;USADO
IN063;VENDIDO;CASA;20;1;0;600,0;50,0;180000;3600,0;0;0;0;0;USADO
TER027;VENDIDO;TERRENO MULTIFAMILIAR;4;0;0;480,0;0,0;180000;0,0;0;0;0;0;NOVO
SJ092;VENDIDO;DUPLEX;21;2;1;120,0;76,0;209900;2761,842105263158;0;1;1;0;NOVO
SJ078;VENDIDO;DUPLEX;21;2;0;100,0;60,0;209900;3498,3333333333335;0;0;1;0;NOVO
SJ090;VENDIDO;DUPLEX;22;2;0;500,0;60,0;210000;3500,0;0;1;1;0;NOVO
JA975;VENDIDO;CASA;4;2;0;120,0;62,0;210000;3387,0967741935483;0;1;1;0;NOVO
JA1363;VENDIDO;FLAT;17;1;0;600,0;60,0;210000;3500,0;0;1;1;0;NOVO
IN049;VENDIDO;CASA;23;3;0;700,0;100,0;195000;1950,0;0;0;0;0;NOVO
JA1545;VENDIDO;APTO;4;2;0;480,0;80,0;210000;2625,0;0;1;1;0;USADO
JA996;VENDIDO;APTO;17;2;0;62,0;62,0;220000;3548,3870967741937;0;0;1;0;NOVO
TER016;DISPONÍVEL;TERRENO UNIFAMILIAR;24;0;0;936,0;0,0;2300000;0,0;0;0;0;0;NOVO
JA973;VENDIDO;DUPLEX;4;2;1;120,0;80,0;230000;2875,0;0;1;1;0;NOVO
IV026;VENDIDO;DUPLEX;13;2;1;120,0;70,0;215000;3071,4285714285716;0;0;1;0;NOVO
TER023;VENDIDO;TERRENO UNIFAMILIAR;4;0;0;480,0;0,0;240000;0,0;0;0;0;0;NOVO
IV020;VENDIDO;DUPLEX;13;2;0;120,0;65,0;215000;3307,6923076923076;0;1;1;0;NOVO
SJ077;VENDIDO;CASA;25;2;0;150,0;70,0;215000;3071,4285714285716;0;0;0;0;USADO
JA1393;VENDIDO;APTO;4;2;0;980,0;65,0;230000;3538,4615384615386;0;1;1;0;USADO
IN023;VENDIDO;CASA;26;2;1;80,0;250,0;220000;880,0;0;1;0;0;NOVO
TER008;VENDIDO;TERRENO UNIFAMILIAR;17;0;0;480,0;100,0;220000;2200,0;0;0;0;0;NOVO
TER010;VENDIDO;TERRENO UNIFAMILIAR;17;0;0;480,0;0,0;220000;0,0;0;0;0;0;NOVO
TER057;DISPONÍVEL;TERRENO MULTIFAMILIAR;3;0;0;600,0;0,0;140000;0,0;0;0;0;0;NOVO
SJ070;VENDIDO;DUPLEX;21;2;0;300,0;607,5;225000;370,3703703703704;0;1;1;0;NOVO
IN079;DISPONÍVEL;CASA;27;2;1;400,0;450,0;210000;466,6666666666667;0;0;0;0;USADO
JA1120;DISPONÍVEL;APTO;28;2;0;800,0;480,0;300000;625,0;0;0;1;0;USADO
TER058;DISPONÍVEL;TERRENO MULTIFAMILIAR;3;0;0;607,5;0,0;100000;0,0;0;0;0;0;NOVO
JA1343;VENDIDO;CASA;14;2;0;150,0;4360,0;230000;52,75229357798165;0;0;0;0;USADO
SB050;VENDIDO;APTO;1;2;1;600,0;480,0;230000;479,1666666666667;0;0;1;0;NOVO
JA1005;VENDIDO;DUPLEX;4;2;1;120,0;480,0;230000;479,1666666666667;0;1;1;0;NOVO
JA1237;VENDIDO;DUPLEX;17;2;0;150,0;65,0;245000;3769,230769230769;0;1;1;0;NOVO
SJ112;VENDIDO;CASA;29;1;0;200,0;60,0;230000;3833,3333333333335;0;0;0;0;NOVO
JA1140;VENDIDO;DUPLEX;4;2;2;125,0;82,0;245000;2987,8048780487807;0;0;1;0;NOVO
SJ089;VENDIDO;CASA;30;2;1;120,0;65,0;235000;3615,3846153846152;0;0;0;0;NOVO
JA1549;VENDIDO;APTO;17;2;0;100,0;70,0;300000;4285,714285714285;1;1;1;0;USADO
JA1474;VENDIDO;APTO;4;2;0;550,0;50,0;260000;5200,0;0;0;1;0;NOVO
IN022;VENDIDO;APTO;7;2;1;74,0;74,0;240000;3243,2432432432433;0;1;1;0;USADO
IN022;VENDIDO;APTO;11;2;1;600,0;74,0;240000;3243,2432432432433;0;0;1;0;USADO
IN093;VENDIDO;DUPLEX;13;2;0;100,0;65,0;300000;4615,384615384615;0;0;1;0;USADO
BAR062;VENDIDO;APTO;28;2;0;450,0;63,0;240000;3809,5238095238096;0;0;1;0;USADO
IV033;VENDIDO;SITIO;13;2;1;1000,0;80,0;430000;5375,0;1;1;0;0;USADO
TER029;DISPONÍVEL;TERRENO UNIFAMILIAR;31;0;0;450,0;0,0;480000;0,0;0;0;0;0;NOVO
TER008;VENDIDO;TERRENO UNIFAMILIAR;1;0;0;480,0;0,0;240000;0,0;0;0;0;0;NOVO
TER061;DISPONÍVEL;TERRENO UNIFAMILIAR;13;0;0;1000,0;0,0;170000;0,0;0;0;0;0;NOVO
IV027;VENDIDO;CASA;13;2;1;220,0;80,0;245000;3062,5;0;0;1;0;NOVO
JA1018;VENDIDO;DUPLEX;4;3;1;480,0;80,0;250000;3125,0;1;1;0;0;NOVO
JA249;VENDIDO;APTO;17;2;0;440,0;60,0;250000;4166,666666666667;0;0;1;0;NOVO
JA1473;VENDIDO;APTO;17;2;1;440,0;80,0;250000;3125,0;0;0;1;0;USADO
JA1156;VENDIDO;CASA;17;2;1;240,0;80,0;250000;3125,0;0;1;0;0;USADO
JA1159;VENDIDO;CASA;4;2;1;240,0;80,0;250000;3125,0;0;0;0;0;USADO
JA1009;VENDIDO;DUPLEX;4;2;1;120,0;80,0;250000;3125,0;0;1;1;0;NOVO
PN011;VENDIDO;CASA;32;2;0;120,0;65,0;250000;3846,153846153846;0;0;1;0;NOVO
IN059;VENDIDO;CASA;31;2;1;360,0;82,0;470000;5731,707317073171;0;1;1;0;NOVO
JA1155;VENDIDO;DUPLEX;4;2;1;150,0;78,0;260000;3333,3333333333335;0;1;1;0;NOVO
JA1449;VENDIDO;APTO;4;2;0;600,0;65,0;260000;4000,0;0;1;0;0;USADO
JA1416;VENDIDO;APTO;4;2;0;600,0;63,0;260000;4126,984126984127;0;0;1;0;NOVO
SB148;VENDIDO;DUPLEX;1;2;1;100,0;67,0;250000;3731,3432835820895;0;1;1;0;NOVO
JA1207;VENDIDO;CASA;4;2;1;150,0;65,0;260000;4000,0;0;0;1;0;NOVO
ITB017;DISPONÍVEL;CASA;19;2;1;220,0;70,0;299000;4271,428571428572;0;0;0;0;USADO
SB165;VENDIDO;DUPLEX;1;2;1;400,0;68,0;250000;3676,470588235294;0;1;1;0;NOVO
TER053;DISPONÍVEL;TERRENO UNIFAMILIAR;13;0;0;4360,0;0,0;150000;0,0;0;0;0;0;NOVO
SB192;VENDIDO;DUPLEX;1;2;2;120,0;80,0;320000;4000,0;0;0;1;0;NOVO
TER014;VENDIDO;TERRENO UNIFAMILIAR;4;0;0;480,0;0,0;250000;0,0;0;0;0;0;NOVO
IV029;VENDIDO;CASA;3;2;1;360,0;100,0;498000;4980,0;0;1;1;0;NOVO
SJ081;VENDIDO;CASA;21;2;0;150,0;75,0;255900;3412,0;0;0;0;0;NOVO
IV031;VENDIDO;CASA;23;2;1;360,0;100,0;498000;4980,0;0;1;1;1;NOVO
SJ097;VENDIDO;CASA;21;2;1;150,0;65,0;259900;3998,4615384615386;0;0;0;0;NOVO
JA1208;VENDIDO;DUPLEX;17;2;1;150,0;75,0;260000;3466,6666666666665;0;1;0;0;NOVO
IN074;VENDIDO;SITIO;3;2;0;1000,0;221,0;550000;2488,68778280543;1;1;0;0;USADO
SB219;VENDIDO;CASA;1;3;1;240,0;110,0;630000;5727,272727272727;0;1;0;1;NOVO
ITB009;VENDIDO;CASA;19;2;1;120,0;65,0;260000;4000,0;0;1;0;0;NOVO
JA1130;VENDIDO;DUPLEX;17;2;1;120,0;70,0;260000;3714,285714285714;0;0;1;0;NOVO
JA1464;VENDIDO;APTO;4;2;1;100,0;80,0;265000;3312,5;0;0;1;0;NOVO
JA1269;VENDIDO;DUPLEX;4;2;2;480,0;84,0;265000;3154,7619047619046;0;1;1;0;NOVO
IV038;VENDIDO;DUPLEX;13;2;0;120,0;65,0;260000;4000,0;0;0;0;0;NOVO
JA1521;DISPONÍVEL;APTO;14;2;1;600,0;80,0;320000;4000,0;0;0;1;0;NOVO
JA1327;VENDIDO;DUPLEX;4;2;1;180,0;80,0;330000;4125,0;0;0;0;0;NOVO
JA930;VENDIDO;CASA;4;2;1;120,0;65,0;270000;4153,846153846154;0;1;0;0;NOVO
JA856;VENDIDO;DUPLEX;4;2;0;120,0;69,0;270000;3913,0434782608695;0;1;0;0;NOVO
JAC031;VENDIDO;CASA;33;2;1;360,0;65,0;270000;4153,846153846154;0;1;0;0;NOVO
SJ083;VENDIDO;CASA;30;2;1;225,0;75,0;260000;3466,6666666666665;0;0;0;0;USADO
TER015;VENDIDO;TERRENO UNIFAMILIAR;4;0;0;440,0;0,0;260000;0,0;0;0;0;0;NOVO
TER060;DISPONÍVEL;TERRENO UNIFAMILIAR;17;0;0;480,0;0,0;80000;0,0;0;0;0;0;NOVO
TER044;VENDIDO;TERRENO UNIFAMILIAR;34;0;0;480,0;0,0;260000;0,0;0;0;0;0;NOVO
BAR040;VENDIDO;DUPLEX;28;2;1;150,0;65,0;265000;4076,923076923077;0;1;1;0;NOVO
SJ079;VENDIDO;DUPLEX;19;2;1;200,0;90,0;265000;2944,4444444444443;0;1;1;0;NOVO
IN052;VENDIDO;DUPLEX;20;2;1;1200,0;74,0;265000;3581,0810810810813;0;1;0;0;NOVO
JA1241;VENDIDO;APTO;17;2;1;600,0;60,0;270000;4500,0;1;1;1;0;NOVO
JAC032;VENDIDO;CASA;33;2;1;360,0;65,0;280000;4307,692307692308;0;1;0;0;USADO
JA1384;VENDIDO;APTO;14;2;0;600,0;65,0;285000;4384,615384615385;0;1;0;0;USADO
IN085;VENDIDO;CASA;3;2;1;220,0;80,0;270000;3375,0;0;0;0;0;NOVO
SB135;VENDIDO;DUPLEX;1;2;2;120,0;78,0;270000;3461,5384615384614;0;0;1;0;NOVO
JA022;VENDIDO;APTO;4;2;0;600,0;80,0;285000;3562,5;0;1;1;0;USADO
CV039;VENDIDO;DUPLEX;35;2;1;120,0;70,0;270000;3857,1428571428573;0;1;1;0;NOVO
JA1337;VENDIDO;DUPLEX;4;2;0;180,0;80,0;330000;4125,0;0;1;0;0;NOVO
JA1220;VENDIDO;DUPLEX;4;2;1;150,0;70,0;285000;4071,4285714285716;0;1;1;0;NOVO
JA1284;VENDIDO;CASA;17;2;1;80,0;480,0;340000;708,3333333333334;0;0;0;0;NOVO
SB194;VENDIDO;CASA;1;3;1;480,0;140,0;850000;6071,428571428572;1;1;0;1;NOVO
JA1244;VENDIDO;DUPLEX;4;2;1;120,0;80,0;285000;3562,5;0;1;0;0;NOVO
JA969;VENDIDO;APTO;17;2;1;100,0;70,0;289000;4128,571428571428;0;1;1;0;NOVO
JA1112;VENDIDO;APTO;17;2;1;480,0;70,0;289000;4128,571428571428;0;1;1;0;NOVO
SJ074;VENDIDO;CASA;21;2;1;400,0;80,0;280000;3500,0;0;1;0;0;NOVO
BAR054;VENDIDO;APTO;28;2;0;500,0;70,0;280000;4000,0;0;1;1;0;NOVO
BAR054;VENDIDO;APTO;28;2;0;480,0;68,0;280000;4117,64705882353;0;1;1;0;USADO
JA1101;VENDIDO;CASA;4;2;1;240,0;90,0;290000;3222,222222222222;0;1;0;0;NOVO
SB175;VENDIDO;APTO;1;2;0;500,0;70,0;280000;4000,0;0;1;1;0;USADO
SB141;VENDIDO;APTO;1;2;0;60,0;50,0;280000;5600,0;0;1;1;0;NOVO
JA1227;VENDIDO;CASA;4;2;1;120,0;68,0;290000;4264,705882352941;0;1;0;0;NOVO
JA1571;VENDIDO;CASA;28;2;0;240,0;65,0;290000;4461,538461538462;0;0;0;0;USADO
IN054;VENDIDO;CASA;3;2;1;480,0;66,0;315000;4772,727272727273;0;0;0;0;NOVO
JA1081;VENDIDO;DUPLEX;4;3;1;180,0;130,0;295000;2269,230769230769;0;1;1;0;USADO
JA1265;VENDIDO;DUPLEX;17;2;0;120,0;65,0;295000;4538,461538461538;0;1;0;0;NOVO
SJ073;VENDIDO;CASA;33;2;1;360,0;65,0;285000;4384,615384615385;0;1;0;0;NOVO
TER034;DISPONÍVEL;TERRENO UNIFAMILIAR;17;0;0;440,0;0,0;300000;0,0;0;0;0;0;NOVO
JA1391;VENDIDO;APTO;17;2;1;440,0;70,0;295000;4214,285714285715;0;1;1;0;NOVO
SJ072;VENDIDO;DUPLEX;21;2;1;250,0;80,0;285000;3562,5;0;1;1;0;NOVO
JA1391;VENDIDO;APTO;17;2;1;440,0;70,0;295000;4214,285714285715;0;1;1;0;NOVO
RV015;VENDIDO;CASA;3;3;1;110,0;450,0;320000;711,1111111111111;0;1;0;0;USADO
JA925;DISPONÍVEL;DUPLEX;4;2;0;150,0;70,0;330000;4714,285714285715;0;1;1;0;NOVO
JA1153;VENDIDO;DUPLEX;4;3;1;250,0;120,0;300000;2500,0;0;1;1;0;USADO
JA1045;VENDIDO;DUPLEX;14;2;0;120,0;80,0;300000;3750,0;0;0;1;0;NOVO
SB189;VENDIDO;DUPLEX;1;2;2;150,0;480,0;289900;603,9583333333334;0;1;1;0;NOVO
JA1045;VENDIDO;DUPLEX;14;2;2;120,0;70,0;300000;4285,714285714285;0;0;1;0;NOVO
SB182;VENDIDO;DUPLEX;1;2;2;150,0;80,0;290000;3625,0;0;1;0;0;NOVO
JA1264;VENDIDO;CASA;17;2;1;120,0;80,0;300000;3750,0;0;0;0;0;NOVO
JA1283;VENDIDO;DUPLEX;4;2;2;150,0;80,0;300000;3750,0;0;0;0;0;NOVO
JA952;VENDIDO;APTO;4;2;1;63,0;63,0;300000;4761,9047619047615;0;0;1;0;NOVO
JA1071;VENDIDO;CASA;17;2;1;550,0;70,0;300000;4285,714285714285;0;0;0;0;NOVO
SB139;VENDIDO;DUPLEX;1;2;1;120,0;70,0;290000;4142,857142857143;0;1;1;0;NOVO
SB155;VENDIDO;DUPLEX;1;2;0;120,0;68,0;290000;4264,705882352941;0;0;0;0;NOVO
